coefficient_name,value,constrain
coef_one,1,TRUE
coef_nest_root,1,TRUE
coef_nest_AUTO,0.72,TRUE
coef_nest_AUTO_DRIVEALONE,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE2,0.35,TRUE
coef_nest_AUTO_SHAREDRIDE3,0.35,TRUE
coef_nest_NONMOTORIZED,0.72,TRUE
coef_nest_TRANSIT,0.72,TRUE
coef_nest_TRANSIT_WALKACCESS,0.5,TRUE
coef_nest_TRANSIT_DRIVEACCESS,0.5,TRUE
coef_nest_RIDEHAIL,0.36,TRUE
coef_ivt_eatout_escort_othdiscr_othmaint_shopping_social,-0.0175,FALSE
coef_ivt_school_univ,-0.0224,FALSE
coef_ivt_work,-0.0134,FALSE
coef_ivt_atwork,-0.0188,FALSE
coef_topology_walk_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,15,FALSE
coef_topology_walk_multiplier_atwork,7.5,FALSE
coef_topology_bike_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,20,FALSE
coef_topology_bike_multiplier_atwork,10,FALSE
coef_topology_trn_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_work,2.2,FALSE
coef_topology_trn_multiplier_atwork,2,FALSE
coef_age1619_da_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,FALSE
coef_age1619_da_multiplier_school_univ,-1.3813,FALSE
coef_age1619_da_multiplier_atwork,0.0032336,FALSE
coef_age010_trn_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work,0,FALSE
coef_age010_trn_multiplier_school_univ,-1.5548,FALSE
coef_age010_trn_multiplier_atwork,7.22e-4,FALSE
coef_age16p_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social,-1.366,FALSE
coef_age16p_sr_multiplier_school_univ_work_atwork,0,FALSE
coef_hhsize1_sr_multiplier_eatout_escort_othdiscr_othmaint_school_shopping_social_univ_atwork,0,FALSE
coef_hhsize1_sr_multiplier_work,-0.734588,FALSE
coef_hhsize2_sr_multiplier_eatout_escort_othdiscr_othmaint_shopping_social_work_atwork,0,FALSE
coef_hhsize2_sr_multiplier_school_univ,-0.6359,FALSE
walk_ASC_no_auto_eatout,1.8452707380627311,FALSE
walk_ASC_no_auto_escort,2.6434769611516726,FALSE
walk_ASC_no_auto_othdiscr,1.6848327613119345,FALSE
walk_ASC_no_auto_othmaint,4.85832069683401,FALSE
walk_ASC_no_auto_school,20.350214311565136,FALSE
walk_ASC_no_auto_shopping,4.20009577385861,FALSE
walk_ASC_no_auto_social,4.237123084044442,FALSE
walk_ASC_no_auto_univ,7.321321530387445,FALSE
walk_ASC_no_auto_work,4.694812566674878,FALSE
walk_ASC_no_auto_atwork,4.343739473823363,FALSE
walk_ASC_auto_deficient_eatout,0.2901201985707353,FALSE
walk_ASC_auto_deficient_escort,-1.5405785549223634,FALSE
walk_ASC_auto_deficient_othdiscr,2.9386555039032314,FALSE
walk_ASC_auto_deficient_othmaint,2.0319292018684947,FALSE
walk_ASC_auto_deficient_school,1.4994569189565203,FALSE
walk_ASC_auto_deficient_shopping,0.408738663194452,FALSE
walk_ASC_auto_deficient_social,2.3693111431427787,FALSE
walk_ASC_auto_deficient_univ,3.360752147865819,FALSE
walk_ASC_auto_deficient_work,-1.6481727348289645,FALSE
walk_ASC_auto_deficient_atwork,-0.7813699042106172,FALSE
walk_ASC_auto_sufficient_eatout,-1.364946900684517,FALSE
walk_ASC_auto_sufficient_escort,-2.2653207364946915,FALSE
walk_ASC_auto_sufficient_othdiscr,0.88757250267844,FALSE
walk_ASC_auto_sufficient_othmaint,0.09550277957770709,FALSE
walk_ASC_auto_sufficient_school,-1.3245946208356911,FALSE
walk_ASC_auto_sufficient_shopping,-1.142851768032881,FALSE
walk_ASC_auto_sufficient_social,1.8786071219346705,FALSE
walk_ASC_auto_sufficient_univ,2.067416811126118,FALSE
walk_ASC_auto_sufficient_work,-3.4611469218336306,FALSE
walk_ASC_auto_sufficient_atwork,-1.3823310163041236,FALSE
bike_ASC_no_auto_eatout,-6.552196352884856,FALSE
bike_ASC_no_auto_escort,0.661233289627424,FALSE
bike_ASC_no_auto_othdiscr,-13.34186795736442,FALSE
bike_ASC_no_auto_othmaint,3.2754140309662567,FALSE
bike_ASC_no_auto_school,-0.86670975736442,FALSE
bike_ASC_no_auto_shopping,1.1972490190676786,FALSE
bike_ASC_no_auto_social,1.442838082369267,FALSE
bike_ASC_no_auto_univ,6.21851695750121,FALSE
bike_ASC_no_auto_work,1.712335790001775,FALSE
bike_ASC_no_auto_atwork,-2.7823483184052935,FALSE
bike_ASC_auto_deficient_eatout,-6.216789190645074,FALSE
bike_ASC_auto_deficient_escort,-4.046061023842744,FALSE
bike_ASC_auto_deficient_othdiscr,-0.17778772952894173,FALSE
bike_ASC_auto_deficient_othmaint,-0.8733093429870656,FALSE
bike_ASC_auto_deficient_school,-0.4303605566756361,FALSE
bike_ASC_auto_deficient_shopping,-1.392270973259939,FALSE
bike_ASC_auto_deficient_social,0.0233689884816815,FALSE
bike_ASC_auto_deficient_univ,-2.5443248684052935,FALSE
bike_ASC_auto_deficient_work,-3.3217508765920014,FALSE
bike_ASC_auto_deficient_atwork,-8.227675612884857,FALSE
bike_ASC_auto_sufficient_eatout,-2.471098894180003,FALSE
bike_ASC_auto_sufficient_escort,-4.410400079304389,FALSE
bike_ASC_auto_sufficient_othdiscr,-1.614297815188259,FALSE
bike_ASC_auto_sufficient_othmaint,-1.9933521705305124,FALSE
bike_ASC_auto_sufficient_school,-3.116914005742072,FALSE
bike_ASC_auto_sufficient_shopping,-2.8948352270605815,FALSE
bike_ASC_auto_sufficient_social,-0.5267566149311322,FALSE
bike_ASC_auto_sufficient_univ,-0.26287855145709926,FALSE
bike_ASC_auto_sufficient_work,-4.684274932344211,FALSE
bike_ASC_auto_sufficient_atwork,15.395900744416826,FALSE
sr2_ASC_no_auto_all,2.5034835295391,FALSE
sr2_ASC_auto_deficient_eatout,1.2439399942704656,FALSE
sr2_ASC_auto_deficient_escort,1.0414488874271983,FALSE
sr2_ASC_auto_deficient_othdiscr,-0.7718349821418377,FALSE
sr2_ASC_auto_deficient_othmaint,1.4445584525276596,FALSE
sr2_ASC_auto_deficient_school,0.23146036658865213,FALSE
sr2_ASC_auto_deficient_shopping,1.2054516553985046,FALSE
sr2_ASC_auto_deficient_social,1.398172377723786,FALSE
sr2_ASC_auto_deficient_univ,1.2498006797650751,FALSE
sr2_ASC_auto_deficient_work,-0.38187990657702137,FALSE
sr2_ASC_auto_deficient_atwork,-1.972982140264132,FALSE
sr2_ASC_auto_sufficient_eatout,0.9877136809008692,FALSE
sr2_ASC_auto_sufficient_escort,0.07179210864661956,FALSE
sr2_ASC_auto_sufficient_othdiscr,0.5682670810833903,FALSE
sr2_ASC_auto_sufficient_othmaint,0.8758159587177848,FALSE
sr2_ASC_auto_sufficient_school,-1.955175282646696,FALSE
sr2_ASC_auto_sufficient_shopping,0.9964141674064264,FALSE
sr2_ASC_auto_sufficient_social,0.7368253483817702,FALSE
sr2_ASC_auto_sufficient_univ,-0.8838070691054777,FALSE
sr2_ASC_auto_sufficient_work,-1.0674543811263395,FALSE
sr2_ASC_auto_sufficient_atwork,-1.4958846525191145,FALSE
sr3p_ASC_no_auto_eatout,0.6559592019248472,FALSE
sr3p_ASC_no_auto_escort,2.597249484258662,FALSE
sr3p_ASC_no_auto_othdiscr,1.3449396882891744,FALSE
sr3p_ASC_no_auto_othmaint,1.0672827022019744,FALSE
sr3p_ASC_no_auto_school,-6.0240827,FALSE
sr3p_ASC_no_auto_shopping,1.0356984968400278,FALSE
sr3p_ASC_no_auto_social,-13.880339450079015,FALSE
sr3p_ASC_no_auto_univ,-6.056001,FALSE
sr3p_ASC_no_auto_work,2.013924004105636,FALSE
sr3p_ASC_no_auto_atwork,-4.962514844479562,FALSE
sr3p_ASC_auto_deficient_eatout,1.447461903914138,FALSE
sr3p_ASC_auto_deficient_escort,1.306447179928687,FALSE
sr3p_ASC_auto_deficient_othdiscr,-11.429552650079016,FALSE
sr3p_ASC_auto_deficient_othmaint,1.8316745762375772,FALSE
sr3p_ASC_auto_deficient_school,1.341664372113191,FALSE
sr3p_ASC_auto_deficient_shopping,0.9447391154829556,FALSE
sr3p_ASC_auto_deficient_social,1.829196459739316,FALSE
sr3p_ASC_auto_deficient_univ,0.6564242186305008,FALSE
sr3p_ASC_auto_deficient_work,-0.728153761949157,FALSE
sr3p_ASC_auto_deficient_atwork,-2.3142438040669076,FALSE
sr3p_ASC_auto_sufficient_eatout,1.6468266830024345,FALSE
sr3p_ASC_auto_sufficient_escort,0.3751476456777349,FALSE
sr3p_ASC_auto_sufficient_othdiscr,0.5337988043572123,FALSE
sr3p_ASC_auto_sufficient_othmaint,1.1775194977651924,FALSE
sr3p_ASC_auto_sufficient_school,-0.857392164141298,FALSE
sr3p_ASC_auto_sufficient_shopping,1.3679048724227685,FALSE
sr3p_ASC_auto_sufficient_social,1.6255759886224967,FALSE
sr3p_ASC_auto_sufficient_univ,-0.9817140773561056,FALSE
sr3p_ASC_auto_sufficient_work,-1.1487736739292955,FALSE
sr3p_ASC_auto_sufficient_atwork,-1.8363933432984345,FALSE
walk_transit_ASC_no_auto_eatout,-2.9613831653438565,FALSE
walk_transit_ASC_no_auto_escort,-4.811681161349026,FALSE
walk_transit_ASC_no_auto_othdiscr,-15.279178299286196,FALSE
walk_transit_ASC_no_auto_othmaint,-2.2422382105013274,FALSE
walk_transit_ASC_no_auto_school,11.772896279323335,FALSE
walk_transit_ASC_no_auto_shopping,-3.135673555948375,FALSE
walk_transit_ASC_no_auto_social,-4.64306275201926,FALSE
walk_transit_ASC_no_auto_univ,2.3884192242918676,FALSE
walk_transit_ASC_no_auto_work,2.650281046700205,FALSE
walk_transit_ASC_no_auto_atwork,-10.659886115926524,FALSE
walk_transit_ASC_auto_deficient_eatout,-13.403036955926527,FALSE
walk_transit_ASC_auto_deficient_escort,-6.785825818528411,FALSE
walk_transit_ASC_auto_deficient_othdiscr,-16.569868399286197,FALSE
walk_transit_ASC_auto_deficient_othmaint,-13.651210793686744,FALSE
walk_transit_ASC_auto_deficient_school,-4.185655163314561,FALSE
walk_transit_ASC_auto_deficient_shopping,-7.9261232076297015,FALSE
walk_transit_ASC_auto_deficient_social,-16.5485119292862,FALSE
walk_transit_ASC_auto_deficient_univ,-3.226483987093914,FALSE
